區鄉,里村,納稅單位,合計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資收入,稿費收入
南港區,西新里,1607,1229365,10253,39414,892968,42467,59272,5545,2471,159895,986,13736,698,1659,1245468,2295
南港區,新光里,1220,1341654,78256,36834,753524,46214,51918,3804,1871,348963,1038,16672,525,2034,1007259,2503
南港區,百福里,1712,1283428,16351,29995,1022217,44537,29488,3673,2285,111108,463,21481,576,1254,1409964,2993
南港區,玉成里,1643,1350606,35408,22679,965957,52392,48815,26864,2989,173357,965,18145,1256,1779,1330494,3885
南港區,成福里,2499,2222275,17659,45980,1698601,87506,46349,6401,4487,217606,6431,78138,2899,10217,2266705,7566
南港區,中南里,1164,742019,9866,18079,580648,27912,28142,2077,1083,62749,0,10162,68,1231,840650,961
南港區,舊庄里,2697,1798044,19682,57054,1464542,58263,35750,3749,3350,123145,372,28428,907,2801,2098952,3630
南港區,九如里,2026,1562467,16804,39207,1229854,69962,30257,5512,2372,137519,12,29177,1248,542,1686186,5941
南港區,東明里,2088,2354067,13303,84936,1619181,68465,49971,9106,3504,455081,2877,41056,373,6213,2086985,4197
南港區,合成里,2231,2501935,19235,66904,1685903,92089,80408,12867,2713,451657,2982,39895,320,46964,2173650,3240
南港區,聯成里,1677,1279142,9708,31825,995648,64927,33234,4414,2187,106666,848,18617,550,10519,1356448,2488
南港區,萬福里,1540,1527927,9600,27483,1056050,67090,63538,6121,2092,255591,4347,27444,687,7885,1372271,3588
南港區,仁福里,1778,1558456,10119,55668,1265143,57306,14313,4103,2300,118221,409,27463,1979,1431,1681438,6321
南港區,重陽里,1973,3287088,15802,172777,2311923,92381,89505,31110,3516,408422,24454,100875,5611,30712,2778857,15555
南港區,其　他,23,31626,0,0,26286,251,260,67,12,388,0,4362,0,0,30850,26
南港區,合　計,39491,39084986,403288,1149291,28359702,1407620,1110806,230137,56103,5198154,111438,842931,26427,189089,37219892,104912
內湖區,紫陽里,3042,3117405,20896,55501,2401675,116815,99864,11336,5656,340023,10206,45029,764,9640,3081944,6706
內湖區,紫星里,2812,2579993,23980,56495,1878894,104897,127074,7769,3856,316722,8451,39381,1008,11467,2491061,6398
內湖區,湖興里,2665,2484103,24698,75412,1840755,95079,71013,12196,4559,284944,3468,43455,974,27550,2437348,5007
內湖區,大湖里,2059,2695040,15530,92382,1704914,88611,109428,12815,2920,612300,6444,42320,750,6627,2161528,5702
內湖區,紫雲里,1933,1748131,9775,55828,1363564,61052,30112,5038,2995,159925,4678,46339,353,8473,1805744,3863
內湖區,瑞陽里,2688,2855657,23051,113470,2082836,121189,67432,14249,5600,334960,3113,78640,1048,10070,2678971,6411
內湖區,清白里,3258,5094999,30887,127399,3283024,184877,170338,22637,5626,1057169,48075,132579,2405,29984,3979256,9795
內湖區,港墘里,2165,2243920,15181,52950,1629743,93910,120670,6192,3591,262153,4827,42523,4488,7692,2113369,10243
內湖區,西湖里,2517,2107689,21108,45592,1545711,90092,83966,6023,4625,241189,13927,45865,1393,8199,2077124,5163
內湖區,石潭里,1532,2091079,20001,124786,1311269,65782,159767,15461,3695,331576,3953,45777,3023,5989,1641997,7561
內湖區,葫洲里,2617,3252130,17973,66662,2346919,117428,118588,11820,5816,458775,27078,60412,994,19663,2953775,6547
內湖區,五分里,3447,2797593,30642,63115,2248678,87798,71325,11113,5456,213306,1107,53067,2275,9712,3079656,7079
內湖區,內湖里,2464,2801884,26912,85062,1831999,113352,106678,17008,3543,508448,8055,74764,2088,23976,2328497,6884
內湖區,週美里,3242,4811092,50505,149402,3023480,148087,227007,37688,6493,917910,29489,194104,4103,22823,3738539,13034
內湖區,內溝里,1667,1338712,10894,32268,1051298,46695,42933,6042,1995,126357,2204,14937,674,2416,1421424,5583
內湖區,碧山里,2354,2308204,15905,40827,1786717,87879,38501,8576,4223,203144,19155,47231,456,55593,2323923,5402
內湖區,瑞光里,1625,1425463,12683,22146,1081190,66524,39698,2674,3279,161607,3066,22359,324,9912,1448089,3305
